paragraph_id,phrase_idx,segment_idx,start_frame,end_frame,start_time_ms,end_time_ms,fallback
P002,0,0,4,134,160,5360,0
P002,1,9,161,170,6440,6800,0
P002,2,10,184,303,7360,12120,0
P002,3,19,313,485,12520,19400,0
P002,4,34,496,608,19840,24320,0
P002,5,43,614,712,24560,28480,0
P002,6,46,719,873,28760,34920,0
P002,7,58,888,977,35520,39080,0
P002,8,64,1009,1078,40360,43120,0
P002,9,70,1093,1145,43720,45800,0
P002,10,76,1161,1243,46440,49720,0
P002,11,84,1270,1484,50800,59360,0
P002,12,99,1495,1652,59800,66080,0
